Tên sản phẩm,Loại sản phẩm,Mã SKU,LC_CN1_Tồn kho ban đầu,LC_CN1_Giá vốn khởi tạo,PL_Giá bán lẻ,PL_Giá nhập
Kẹo Hải Hà cứng nhân xoài gói 80g,"Đồ Ăn, Thức Uống",KHH/CU/X/80G,8,0,10.000,7.000
Móc khóa len đeo ảnh Hà Nội,Len,LEN/MKDAHN,8,0,60.000,44.000
Móc khóa len nón cờ,Len,LEN/MKNC,8,0,50.000,37.000
Móc khóa len mochi,Len,LEN/MKMOCHI,8,0,50.000,37.000
Con Trai Sơn Mài,Hàng Sơn Mài,SM/CONTRAI,8,0,300.000,222.000
Làn cói (các màu),"Túi xách, Làn, Ví",CLY/MAU,8,0,170.000,126.000
Kẹo Hải Hà Jelly hương nho gói 100g,"Đồ Ăn, Thức Uống",8934595063169,8,0,20.000,15.000
Kẹo Hải Hà chew khoai môn gói 90g,"Đồ Ăn, Thức Uống",8934595060526,8,0,10.000,7.000
Đĩa F14 men kem,Hàng Gốm Sứ,T/D14/MK,8,0,50.000,37.000
Thìa cơm hỏa biến,Hàng Gốm Sứ,THC/HB,8,0,30.000,22.000
Xì gà Vinaboss's 55 (ống nhôm 1 điếu),"Xì Gà, Thuốc Lá",XG/VNB/55,8,0,550.000,407.000
Ấm bộ độc ẩm vẽ cl,Hàng Gốm Sứ,T/AM/1M/CL,8,0,150.000,111.000
Cà phê Arabica gói 500g,"Đồ Ăn, Thức Uống",CP/A/500G,8,0,320.000,237.000
Cà phê Culi 500g,"Đồ Ăn, Thức Uống",CP/C/500G,8,0,300.000,222.000
Túi xách cúc dừa thổ cẩm KT: 33x22,"Túi xách, Làn, Ví",TC/TXCD/33x22,8,0,150.000,111.000
Ví thổ cẩm thêu,"Túi xách, Làn, Ví",VGTC,8,0,200.000,148.000
Cà phê túi lọc Độc Lập,"Đồ Ăn, Thức Uống",CPC/CF/DL/L,8,0,90.000,67.000
Cà phê túi lọc Tự Do,"Đồ Ăn, Thức Uống",CPC/CF/TD/L,8,0,100.000,74.000
Cà phê túi lọc phở Việt Nam,"Đồ Ăn, Thức Uống",CPC/CF/PVN/L,8,0,100.000,74.000
MR.VIET Cà Phê Hương Hạt Dẻ - Cà Phê Rang Xay Túi 250g (MR.VIET Hazelnut - Ground Coffee 250g Bag),"Đồ Ăn, Thức Uống",8936135430738,8,0,160.000,119.000
MR.VIET Arabica - Cà Phê Hạt Rang Túi 250g (MR.VIET Arabica - Roasted Coffee Beans 250g Bag),"Đồ Ăn, Thức Uống",8936135430264,8,0,220.000,163.000
Quýt sơn mài phi 6,Hàng Sơn Mài,SM/QUYT6,8,0,80.000,59.000
Khay vuông gắn trai có tay cầm KT: 35cm,"Khay tre, khảm trai, gỗ",KVGTCTC/35,8,0,280.000,207.000
Khay tròn gắn trai KT: phi 28,"Khay tre, khảm trai, gỗ",KTGT/28,8,0,220.000,163.000
Kẹo xoài xanh bóc vỏ Vietthai 255g,"Đồ Ăn, Thức Uống",8936029721850,7,0,35.000,26.000
Rượu mơ má đào Mộc Châu 100ml,Rượu,8938528985931,7,0,150.000,111.000
bát chiết yêu F11 vẽ CL,Hàng Gốm Sứ,TBCTL04.1,7,0,60.000,44.000
Túi rút lụa thêu hoa 19x19,"Túi xách, Làn, Ví",CLY/TT19,7,0,70.000,52.000
Cốc lúa mạch có quai,Hàng Gốm Sứ,CLM02,7,0,80.000,59.000
Xoài sấy dẻo muối ớt lọ 500g,"Đồ Ăn, Thức Uống",XSD/MO/L/500G,7,0,120.000,89.000
Gác thìa hỏa biến,Hàng Gốm Sứ,HB/GTH,7,0,30.000,22.000
Cốc ngọc trai có quai,Hàng Gốm Sứ,C/NT/Q,7,0,90.000,67.000
Bộ áo dài cờ đỏ sao vàng,Quần Áo,CLY/AD/CDSV,7,0,450.000,333.000
Bát mắm hỏa biến,Hàng Gốm Sứ,HB/BMM,7,0,40.000,30.000
"Trà tôm nõn gói nhỏ (đỏ,vàng)","Đồ Ăn, Thức Uống",TRA/TN/S,7,0,40.000,30.000
Thìa cơm hỏa biến sen,Hàng Gốm Sứ,THC/HB/SEN,7,0,35.000,26.000
Tranh đĩa F24 vẽ băng hoa,Hàng Gốm Sứ,ATDF24/04,7,0,1.500.000,1.111.000
Trà sen,"Đồ Ăn, Thức Uống",TRASEN,7,0,350.000,259.000
Cà phê Arabica đã xay gói 200g,"Đồ Ăn, Thức Uống",CP/A/DX/200G,7,0,140.000,104.000
Xì gà LOTUS CLUB (10 điếu/bao),"Xì Gà, Thuốc Lá",8936031835552,7,0,300.000,222.000
Xì gà Vinaboss's 60 (ống nhôm 1 điếu),"Xì Gà, Thuốc Lá",XG/VNB/60,7,0,650.000,481.000
Cà phê mix A+C+R 500g,"Đồ Ăn, Thức Uống",CP/ACR/500G,7,0,320.000,237.000
Set 5 chai Miss Saigon Elegance 15ml,Nước Hoa,8934662176150,7,0,1.150.000,852.000
phin cà phê màu hồng cánh sen phi 7,Phin CF,PCP/HCS/7,7,24.000,120.000,89.000
Nước hoa Miss VietNam N31 Sứ màu Sài Gòn 35ml,Nước Hoa,8934662133313,7,0,1.300.000,963.000
Trà ô long Phú Sỹ 100g ( màu đỏ),"Đồ Ăn, Thức Uống",8938505114491,7,0,100.000,74.000
Tranh bìa,Thủ công mỹ nghệ,KG05,7,0,40.000,30.000
Bình nu gỗ SM 11cm,Hàng Sơn Mài,SM/BNG/11,7,0,120.000,89.000
Cà phê phin giấy Hạnh Phúc,"Đồ Ăn, Thức Uống",CPC/CF/HP/F,7,0,140.000,104.000
Cà phê túi lọc Hạnh Phúc,"Đồ Ăn, Thức Uống",CPC/CF/HP/L,7,0,100.000,74.000
Trà phê túi lọc Cộng (2gr x20),"Đồ Ăn, Thức Uống",CPC/TP/L,7,0,80.000,59.000
Trà nhài túi lọc 2x20,"Đồ Ăn, Thức Uống",CPC/TN/L,7,0,100.000,74.000
Trà sen Star Kitchen,"Đồ Ăn, Thức Uống",8938532872562,7,0,110.000,81.000
Nón Huế thêu hoa phi 40,"Nón, Nón treo",NHTH/40,7,0,100.000,74.000
Nón Huế trơn phi 40,"Nón, Nón treo",NHT/40,7,0,80.000,59.000
Hộp trang sức SM HCN KT 12x20,Hàng Sơn Mài,SM/HTS/12x20,7,0,400.000,296.000
Socola đen Bà Rịa 76% Marou 24g,"Đồ Ăn, Thức Uống",8938505214146,6,0,75.000,56.000
Chén và đĩa thủy tinh của BAPT,"Giá Kệ, Công cụ, Dụng Cụ",CDTT/17.1,6,0,50.000,37.000
Gấu len chân ngắn đeo cờ Việt Nam,Len,LEN/GCNDCVN,6,0,200.000,148.000
Túi mề gà thêu12x20,"Túi xách, Làn, Ví",CLY/TMG1220,6,0,70.000,52.000
Túi mề gà thêu 14x24,"Túi xách, Làn, Ví",CLY/TMG1424,6,0,80.000,59.000
Thìa Sup gỗ 22.5cm,"Đồ Ăn, Thức Uống",GO/SUP22.5,6,0,30.000,22.000
Kẹo Hải Hà cứng nhân cam gói 80g,"Đồ Ăn, Thức Uống",8936007390610,6,0,10.000,7.000
Bát mắm trâu sen,Hàng Gốm Sứ,TS/BMM,6,0,30.000,22.000
Cà phê Robusta Honey gói 500g,"Đồ Ăn, Thức Uống",CP/RH/500G,6,0,300.000,222.000
Phin cà phê màu cam phi 7,Phin CF,PCP/CAM/7,6,0,120.000,89.000
NÓN DÂY TRƠN BỘ 7 CÁI,"Nón, Nón treo",NDT/7,6,0,150.000,111.000
Bộ ac in men HB các màu,Hàng Gốm Sứ,AAC0020,6,0,1.200.000,889.000
Túi cỏ bàng vẽ,"Túi xách, Làn, Ví",TCBV,6,0,300.000,222.000
Nước hoa Miss SaiGon Elegance Amethyst N1 (Màu tím) 50ml,Nước Hoa,8934662176013,6,0,720.000,533.000
Nước hoa Miss SaiGon Elegance Sapphire N2 (Màu xanh dương) 50ml,Nước Hoa,8934662176020,6,0,720.000,533.000
Nước hoa Miss SaiGon Elegance Amber N5 (Màu cam) 50ml,Nước Hoa,8934662176051,6,0,720.000,533.000
Khay tròn gắn trai KT: phi 24,"Khay tre, khảm trai, gỗ",KTGT/24,6,0,200.000,148.000
Đèn lồng tỏi 20cm,Đèn lồng,DL/TOI/20,6,0,100.000,74.000
Đèn lồng tỏi 10cm,Đèn lồng,DL/TOI/10,6,0,50.000,37.000
Quế sáo,"Đồ Ăn, Thức Uống",QSAO,6,0,100.000,74.000
Đĩa kê cốc CF vàng,Hàng Gốm Sứ,DCF/V,6,0,20.000,15.000
Bộ AC hoả biến xanh các loại,Hàng Gốm Sứ,T/AC/XD/CL,6,0,1.200.000,889.000
Bình na gỗ SM 10cm,Hàng Sơn Mài,SM/BNAG/10,6,0,120.000,89.000
Cắm bút gỗ SM 11cm,Hàng Sơn Mài,SM/CBG/11,6,0,120.000,89.000
Bình chai gỗ SM 20cm,Hàng Sơn Mài,SM/BCG/20,6,0,120.000,89.000
Khoai lang sấy Vinamit 250g,"Đồ Ăn, Thức Uống",8934743022925,6,0,65.000,48.000
Cà phê hòa tan G7 3in1 hộp dẹt 336g/ 21 gói,"Đồ Ăn, Thức Uống",8935024123287,6,0,80.000,59.000
Cà phê hòa tan G7 3in1 50 gói / bịch 800g,"Đồ Ăn, Thức Uống",8935024129357,6,0,190.000,141.000
Trà I Wish You 10 (I Wish You 10 Loose Leaf Tea),"Đồ Ăn, Thức Uống",8938506647394,6,0,200.000,148.000
Đèn lồng tre size L,Đèn lồng,DL/TRE/L,6,0,300.000,222.000
Lọ ly sơn mài 30,Hàng Sơn Mài,SM/LY30,6,0,200.000,148.000
Rượu Lúa Mới 40% 100ml (Hà Nội Opera House),Rượu,8934591007198,5,0,125.000,93.000
Rượu Vodka Hà Nội 40% 100ml (Hoàn Kiếm Lake),Rượu,8934591007181,5,0,125.000,93.000
Rượu Nếp Mới 40% 100ml (Khuê Văn Các ),Rượu,8934591007204,5,0,125.000,93.000
Mẹt F30 vẽ phong cảnh cl,Thủ công mỹ nghệ,TMET3001,5,0,600.000,444.000
Kẹo xoài Úc bóc vỏ Vietthai 255g,"Đồ Ăn, Thức Uống",8936029721980,5,0,35.000,26.000
Cà phê Cộng Bạc xỉu hòa tan 12 Stick,"Đồ Ăn, Thức Uống",8938531133640,5,0,85.000,63.000
Bình Sơn mài ống chỉ,Hàng Sơn Mài,SM/BOCHI,5,0,200.000,148.000
Socola đen Đồng Nai 72% Marou 24g,"Đồ Ăn, Thức Uống",8938505214245,5,0,75.000,56.000
Socola cà phê sữa VN 44% Marou 24g,"Đồ Ăn, Thức Uống",8938505214290,5,0,80.000,59.000
Rượu dâu tằm hoa nhài 100ml,Rượu,8938528985337,5,0,150.000,111.000
Hộp cacao sữa Heyday,"Đồ Ăn, Thức Uống",8938512644417,5,0,105.000,78.000
Tranh sơn mài vuông 15x15,Hàng Sơn Mài,SM/TR/V15,5,0,200.000,148.000
Tranh đĩa tròn Sơn mài cong phi 15,Hàng Sơn Mài,SM/TR/DTC15,5,0,200.000,148.000
bát cơm vẽ sen,Hàng Gốm Sứ,T/BC/SEN,5,0,50.000,37.000
Cà phê Robusta mix Arabica đã xay gói 200g,"Đồ Ăn, Thức Uống",CP/R/A/DX/200G,5,0,140.000,104.000
Bình thọ gỗ vuốt 18cm,Hàng Sơn Mài,SM/BTGV/18,5,0,150.000,111.000
Kẹp sách giấy gió,Thủ công mỹ nghệ,KSGG,5,0,15.000,11.000
Nước hoa Miss Saigon Elegance (màu đỏ) 50ml,Nước Hoa,8934662176204,5,0,720.000,533.000
Đĩa F15 HB sen,Hàng Gốm Sứ,HB/D/F15/S,5,0,150.000,111.000
Khay muối vuông trâu sen,Hàng Gốm Sứ,TS/KHM/V,5,0,40.000,30.000
Bộ AC Giang Tây hỏa biến,Hàng Gốm Sứ,TAC/HB03,5,0,1.200.000,889.000
Cam sơn mài phi 14,Hàng Sơn Mài,SM/CAM14,5,0,160.000,119.000
Trà xanh hoa nhài đóng lọ,"Đồ Ăn, Thức Uống",TRA/HN/LO,5,0,150.000,111.000
HẠT TIÊU ĐỎ,"Đồ Ăn, Thức Uống",HTIEU/DO,5,0,60.000,44.000
Nụ hoa tam thất,"Đồ Ăn, Thức Uống",NU/HTT,5,0,100.000,74.000
Cà phê mix A+C+R gói 200g,"Đồ Ăn, Thức Uống",CP/ACR/200G,5,0,140.000,104.000
Cà phê Moka 500g,"Đồ Ăn, Thức Uống",CP/M/500G,5,0,350.000,259.000
Phin cà phê màu xanh lá phi 7,Phin CF,PCP/XL/7,5,20.000,120.000,89.000
Lót ly sơn mài tròn,Hàng Sơn Mài,SM/LOTLY/TR,5,0,200.000,148.000
Nước hoa Miss Việt Nam N27 Sứ trắng Sài Gòn 35ml,Nước Hoa,8934662133276,5,0,1.300.000,963.000
Nước hoa Miss Việt Nam N29 Sứ trắng Hà Nội 35ml,Nước Hoa,8934662133290,5,0,1.300.000,963.000
Cốc CF vẽ hoa các loại,Hàng Gốm Sứ,ACOCCF04,5,0,80.000,59.000
Nón cỏ bàng vẽ hoa sen thường phi 41,"Nón, Nón treo",NCBVHST/41,5,0,350.000,259.000
Xì gà HANOS - HNC52 ( ống nhôm 1 điếu),"Xì Gà, Thuốc Lá",XIGA/HNC52,5,0,800.000,593.000
Trà cúc túi lọc Cộng (2gr x20),"Đồ Ăn, Thức Uống",CPC/TC/L,5,0,80.000,59.000
cà phê hòa tan cappuccino hazelnut Trung Nguyên legend 216g 12x18g,"Đồ Ăn, Thức Uống",8935024122129,5,0,90.000,67.000
MR.VIET Cà phê Hòa Tan Dừa 255g (MR.VIET Instant Coffee Coconut 255g),"Đồ Ăn, Thức Uống",8936135433401,5,0,120.000,89.000
MR.VIET Good Morning Vietnam - Cà Phê Hạt Rang Túi 250g (GM Vietnam – Roasted Coffee Beans 250g Bag),"Đồ Ăn, Thức Uống",8936135430271,5,0,200.000,148.000
Đèn lồng tre size M,Đèn lồng,DL/TRE/M,5,0,250.000,185.000
Khay tròn gắn trai KT: phi 22,"Khay tre, khảm trai, gỗ",KTGT/22,5,0,170.000,126.000
Khay tròn gắn trai KT: phi 35,"Khay tre, khảm trai, gỗ",KTGT/35,5,0,280.000,207.000
Rượu cà phê 25% 100ml ( Hạ Long Bay),Rượu,8934591007235,4,0,125.000,93.000
Rượu Thanh Mai 25% 100ml (Huế Citadel),Rượu,8934591007228,4,0,125.000,93.000
Rượu dâu 19.5% 250ml,Rượu,8934591008713,4,0,75.000,56.000
Rượu vải 18% 250ml,Rượu,8934591008690,4,0,75.000,56.000
Cà phê hòa tan dừa Mr Việt 510g,"Đồ Ăn, Thức Uống",8936135434170,4,0,230.000,170.000
Túi cói quai xách đính hoa cúc KT 29x39,"Túi xách, Làn, Ví",TCQX/DHC/29x39,4,0,300.000,222.000
Bình củ Huệ sơn mài 15 cm,Hàng Sơn Mài,SM/L/CHUE/15,4,0,150.000,111.000
Socola đen Tiền Giang 70% Marou 24g,"Đồ Ăn, Thức Uống",8938505214443,4,0,75.000,56.000
Socola đen Lâm Đồng 74% Marou 24g,"Đồ Ăn, Thức Uống",8938505214641,4,0,75.000,56.000
Socola đen bến tre 78% Marou 24g,"Đồ Ăn, Thức Uống",8938505214344,4,0,75.000,56.000
Rượu Thanh Long 530ml,Rượu,8938528985405,4,0,370.000,274.000
Rượu táo mèo yên bái 530ml,Rượu,8938528985009,4,0,370.000,274.000
Khoai môn sấy Vinamit 250g,"Đồ Ăn, Thức Uống",8934743022932,4,0,110.000,81.000
Túi xách thổ cẩm quai gỗ 2 khóa KT 32X32,"Túi xách, Làn, Ví",TC/TXQG2K/32X32,4,0,100.000,74.000
Bình Phu Thê cỡ nhỏ,Hàng Sơn Mài,SM/VC/S,4,0,320.000,237.000
Bình Phu Thê dẹt cỡ nhỏ,Hàng Sơn Mài,S/VC/DET/S,4,0,320.000,237.000
Đĩa F14 vẽ sen xanh lam,Hàng Gốm Sứ,T/DIA/SEN/F14,4,0,50.000,37.000
Đĩa F18 vẽ sen xanh lam,Hàng Gốm Sứ,T/DIA/SEN/F18,4,0,100.000,74.000
Cà phê Vinacafe Special 3 trong 1 hộp 306g,"Đồ Ăn, Thức Uống",8934683010914,4,0,60.000,44.000
Túi xách hoa cúc dừa KT: 22x32,"Túi xách, Làn, Ví",TXHCD/22X32,4,0,100.000,74.000
Tranh sơn mài 15x20,Hàng Sơn Mài,SM/TR/15X20,4,0,250.000,185.000
Khay tròn gắn trai có quai Kt phi 30cm,"Khay tre, khảm trai, gỗ",KTGTCQ/30,4,0,270.000,200.000
4 cánh HB nhỏ sen,Hàng Gốm Sứ,HB/4C/S/SEN,4,0,40.000,30.000
Nón Bắc Bộ trẻ em vẽ cờ đỏ sao vàng phi 34,"Nón, Nón treo",NBBTEV/CDSV/34,4,0,60.000,44.000
Tranh thêu khung bo 24x30,Thủ công mỹ nghệ,SP220425,4,0,120.000,89.000
Thìa cà phê trắng thẳng,Hàng Gốm Sứ,THCF/TR/TH,4,0,10.000,7.000
Đĩa F15 HB,Hàng Gốm Sứ,HB/D/F15,4,0,80.000,59.000
Salat HB CL F18-24,Hàng Gốm Sứ,HB/SALAT/F18-24,4,0,250.000,185.000
Bát tô F16 men kem,Hàng Gốm Sứ,T/BT16/MK,4,0,110.000,81.000
Giỏ mây phi 30,"Túi xách, Làn, Ví",M/GM/F30,4,0,100.000,74.000
Khay chữ nhật gắn trai có quai Kt 33x23,"Khay tre, khảm trai, gỗ",KCNGTCQ/33X23,4,0,200.000,148.000
Cà phê Trung Tín hộp trống gỗ 150gr,"Đồ Ăn, Thức Uống",580011/HT,4,0,300.000,222.000
Khay vuông gắn trai KT: 22cm,"Khay tre, khảm trai, gỗ",KVGT/22,4,0,190.000,141.000
phin cà phê màu xanh da trời f7,Phin CF,PCP/XDT/7,4,0,120.000,89.000
phin cà phê màu đen phi 7,Phin CF,PCP/DEN/7,4,0,120.000,89.000
Nước hoa Miss SaiGon Elegance Ruby N3 (Màu hồng) 50ml,Nước Hoa,8934662176037,4,0,720.000,533.000
Nước hoa Miss SaiGon Elegance Jade N6 (Màu xanh lá cây) 50ml,Nước Hoa,8934662176068,4,0,720.000,533.000
Nước hoa Miss VietNam N32 Sứ màu Huế 35ml,Nước Hoa,8934662133320,4,0,1.300.000,963.000
Tích lộc mini vẽ sen,Hàng Gốm Sứ,ATL18160001,4,0,1.500.000,1.111.000
Bộ AC trâu sen,Hàng Gốm Sứ,AC29/SEN,4,0,500.000,370.000
Thìa cơm sen,Hàng Gốm Sứ,T/TH/SEN,4,0,35.000,26.000
Cốc lọc cà phê cao TM,Hàng Gốm Sứ,CFTM01/H,4,0,120.000,89.000
Phin cà phê màu nâu phi 7,Phin CF,PCP/NAU/7,4,35.000,120.000,89.000
Nấm đông trùng(lọ),"Đồ Ăn, Thức Uống",NAM/DTRUNG,4,0,100.000,74.000
Trà xanh Thái Nguyên hộp đỏ 200g,"Đồ Ăn, Thức Uống",TRA/200G/H/D,4,0,350.000,259.000
Trà xanh Thái Nguyên hộp vàng 200g,"Đồ Ăn, Thức Uống",TRA/200G/H/V,4,0,350.000,259.000
Trà Sencha gói hút chân không gói 200g,"Đồ Ăn, Thức Uống",8936095570512,4,0,120.000,89.000
Sổ tre,Thủ công mỹ nghệ,KG/SO/TRE,4,0,60.000,44.000
Cà phê sữa đá Trung Nguyên legend 225g 9x25g,"Đồ Ăn, Thức Uống",8935024132500,4,0,120.000,89.000
MR.VIET Xoài Sấy Với Sôcôla Sữa & Dừa (MR.VIET Dried Mango Milk Chocolate & Coconut),"Đồ Ăn, Thức Uống",8936135431681,4,0,120.000,89.000
MR.VIET Xoài Sấy Với Matcha & Mắc Ca (MR.VIET Dried Mango Matcha & Macadamia),"Đồ Ăn, Thức Uống",8936135431704,4,0,120.000,89.000
"""Cà phê MR.VIET Real-Strong-Orginal-CàPhê Rang Xay hộp 250g (Real-Strong-Original-Ground 250g)-black""","Đồ Ăn, Thức Uống",8938506647615,4,0,180.000,133.000
Quần áo dài,Quần Áo,CLY/Q,4,0,150.000,111.000
Khay tròn sơn mài hình gà phi 30,Hàng Sơn Mài,SM/KH/TR30,4,0,310.000,230.000
Tranh đĩa tròn Sơn Mài cong phi 25,Hàng Sơn Mài,SM/TR/DTC25,4,0,300.000,222.000
Khay tròn thảm gỗ có quai KT phi 28,"Khay tre, khảm trai, gỗ",KTTGCQ/28,4,0,200.000,148.000
Khay tròn gắn trai KT: phi 30,"Khay tre, khảm trai, gỗ",KTGT/30,4,0,240.000,178.000
Rươu chanh 25% 100ml (Bến Thành Market),Rượu,8934591007211,3,0,125.000,93.000
"Rượu Nàng Mận 25,5% 375ml",Rượu,8938528985634,3,0,300.000,222.000
"Rượu Nàng Mận 25,5% 530ml",Rượu,8938528985597,3,0,400.000,296.000
"Rượu Gái Mèo 25,5% 530ml",Rượu,8938528985610,3,0,400.000,296.000
Rượu mơ Má đào Mộc Châu 19% 530ml,Rượu,5023MC530,3,0,400.000,296.000
Trà Kim Tuyên gói hút chân không 200g,"Đồ Ăn, Thức Uống",8936095570710,3,0,100.000,74.000
Atiso đỏ,"Đồ Ăn, Thức Uống",ATISO,3,0,60.000,44.000
Bình Sơn Mài Mang cá Vầng Trăng nhí 15.5 cm,Hàng Sơn Mài,SM/MCVTRANG/S,3,0,300.000,222.000
Rượu Sông Cái Floral Gin 700ml (45%),Rượu,R/FLORAL/700,3,0,1.500.000,1.111.000
Rượu Sông Cái Dry Gin 700ml (45%),Rượu,8938528319026,3,0,1.350.000,1.000.000
Socola Arabica coffee Lâm Đồng 64% Marou 80g,"Đồ Ăn, Thức Uống",8938505214665,3,0,170.000,126.000
Socola đen Đắc lăk 70% Marou 80g,"Đồ Ăn, Thức Uống",8938505214726,3,0,140.000,104.000
Socola đen Lâm Đồng 74% Marou 80g,"Đồ Ăn, Thức Uống",8938505214634,3,0,140.000,104.000
Socola đen Đồng Nai 72% Marou 80g,"Đồ Ăn, Thức Uống",8938505214238,3,0,140.000,104.000
Socola Mekong Kumquat Tiền Giang 68% Marou 80g,"Đồ Ăn, Thức Uống",8938505214450,3,0,170.000,126.000
Socola Mekong Kumquat Tiền Giang 68% Marou 24g,"Đồ Ăn, Thức Uống",8938505214405,3,0,85.000,63.000
Socola Coconut Milk Bến tre 55% Marou 24g,"Đồ Ăn, Thức Uống",8938505214375,3,0,85.000,63.000
Rượu sim Yên Tử 250ml 24%,Rượu,8936105590103/250,3,0,200.000,148.000
Rượu cô chanh 530ml,Rượu,8938528985603,3,0,370.000,274.000
"Rượu nàng mận 25,5% 100ml",Rượu,8938528985542,3,0,150.000,111.000
Chân kê đĩa gỗ 15cm,Thủ công mỹ nghệ,CKD/15,3,0,40.000,30.000
Bình sơn mài vai vuông,Hàng Sơn Mài,SM/BVAIVUONG,3,0,500.000,370.000
Bình Sơn mài Mang cá Picatso lớn (36cm),Hàng Sơn Mài,SM/MCPICASO/L,3,0,500.000,370.000
Khay chữ nhật gắn trai có quai KT 34X24,"Khay tre, khảm trai, gỗ",KCNGTCQ/34X24,3,0,220.000,163.000
Doremon len,Len,LEN/DOREMON,3,0,220.000,163.000
Móc khóa len vịt đeo chai đội nón,Len,LEN/MKVDCDN,3,0,60.000,44.000
Móc khóa len chó cờ,Len,LEN/MKCC,3,0,60.000,44.000
Bình Mang cá thấp,Hàng Sơn Mài,SM/MCT,3,0,360.000,267.000
Bình Phu Thê dẹt cỡ lớn,Hàng Sơn Mài,SM/VC/DET/L,3,0,400.000,296.000
Đĩa ảo F20 sen xanh lam,Hàng Gốm Sứ,T/D/AO/SEN/20,3,0,150.000,111.000
Đĩa lượn 5 cánh vẽ sen F23,Hàng Gốm Sứ,T/D/5C/SEN/F23,3,0,200.000,148.000
Bát mắm vẽ sen,Hàng Gốm Sứ,T/BM/SEN,3,0,30.000,22.000
Đĩa F20 vẽ sen xanh lam,Hàng Gốm Sứ,T/DIA/SEN/F20,3,0,120.000,89.000
Túi xách đeo vai hoa ô vuông KT: 32x25cm,"Túi xách, Làn, Ví",TXDVHOV/32X25,3,0,100.000,74.000
Khay bầu dục gắn trai có quai Kt 24x37,"Khay tre, khảm trai, gỗ",KBDGTCQ/24X37,3,0,180.000,133.000
trà tâm sen lọ nhỏ,"Đồ Ăn, Thức Uống",TRA/TSEN/N,3,0,200.000,148.000
Trà tôm nõn Thái Nguyên hộp 300g,"Đồ Ăn, Thức Uống",TRA/TN/300G,3,0,600.000,444.000
kẹo Hải Hà chew đậu đỏ gói 90g,"Đồ Ăn, Thức Uống",8934595060496,3,0,10.000,7.000
Nón Bắc Bộ vẽ cờ đỏ sao vàng phi 40,"Nón, Nón treo",NBBV/CDSV/40,3,0,80.000,59.000
Nón cỏ bàng vẽ hoa sen nổi phi 41,"Nón, Nón treo",NCBVHSN/41,3,0,350.000,259.000
Kẹo Hải Hà Chew xốp cốm gói 70g,"Đồ Ăn, Thức Uống",8934595060038,3,0,10.000,7.000
Đĩa F20 HB sen,Hàng Gốm Sứ,HB/D/F20/S,3,0,220.000,163.000
Đĩa F20 Hb,Hàng Gốm Sứ,HB/D/F20,3,0,180.000,133.000
Bát tô F20 men kem,Hàng Gốm Sứ,T/BT20/MK,3,0,150.000,111.000
Đĩa F20 men kem,Hàng Gốm Sứ,T/D20/MK,3,0,90.000,67.000
Đĩa F22 men kem,Hàng Gốm Sứ,T/D22/MK,3,0,110.000,81.000
